RR,HR,,,,,,
10,56,,,,,,
10,57,,,,,,
10,62,,,,,,
13,60,,,,,,
13,60,,,,,,
13,58,,,,,,
16,61,,,,,,
16,59,,,,,,
16,59,,,,,,
19,61,,,,,,
19,61,,,,,,
19,65,,,,,,
22,65,,,,,,
22,61,,,,,,
18,59,,,,,,
18,62,,,,,,
14,61,,,,,,
10,58,,,,,,
10,60,,,,,,
10,56,Ale2,,,,,
10,57,,,,,,
10,59,,,,,,
13,60,,,,,,
13,60,,,,,,
13,59,,,,,,
15,61,,,,,,
15,59,,,,,,
15,58,,,,,,
19,60,,,,,,
19,63,,,,,,
19,62,,,,,,
22,64,,,,,,
22,61,,,,,,
19,59,,,,,,
14,64,,,,,,
10,61,,,,,,
10,58,,,,,,
10,60,,,,,,
10,,,,,68,Ale,NOHR
10,,,,,67,,
14,,,,,74,,
14,,,,,74,,
19,,,,,75,,
19,,,,,78,,
12,74,Ale3,,,,,
12,77,,,,,,
14,80,,,,,,
14,79,,,,,,
20,77,,,,,,
20,80,,,,,,
10,64,MatteBova,,,,,
10,61,,,,,,
14,62,,,,,,
14,65,,,,,,
19,61,,,,,,
19,65,,,,,,
10,75,MatteCriociani,,,,,
10,74,,,,,,
14,74,,,,,,
14,76,,,,,,
19,79,,,,,,
19,81,,,,,,
10,,Jack,,,,,
10,,,,,,,
14,,,,,,,
14,,,,,,,
18,,,,,,,
18,,,,,,,
10,67,Paulina,,,,,
10,69,,,,,,
14,72,,,,,,
14,71,,,,,,
18,69,,,,,,
18,73,,,,,,
10,,Tatiana,,,,,
10,,,,,,,
14,,,,,,,
14,,,,,,,
14,,,,,,,
19,,,,,,,
19,,,,,,,
10,,Vittoria,,,,,
10,,,,,,,
14,,,,,,,
14,,,,,,,
19,,,,,,,
19,,,,,,,
10,66,Oscar,,,,,
10,68,,,,,,
14,63,,,,,,
14,66,,,,,,
19,68,,,,,,
19,67,,,,,,
10,67,FraMOna,,,,,
10,64,,,,,,
14,63,,,,,,
14,62,,,,,,
19,62,,,,,,
19,63,,,,,,
12,67,Pavi,,,,,
12,68,,,,,,
16,65,,,,,,
16,68,,,,,,
20,67,,,,,,
20,60,,,,,,
17,77,,,,,,
17,76,,,,,,
14,79,,,,,,
14,75,,,,,,
10,,FraCoinqy,,,,,
10,,,,,,,
14,,,,,,,
14,,,,,,,
18,,,,,,,
18,,,,,,,
10,,Elia,,,,,
10,,,,,,,
14,,,,,,,
14,,,,,,,
19,,,,,,,
19,,,,,,,
10,80,Dalls,,,,,
10,79,,,,,,
12,79,,,,,,
12,82,,,,,,
14,83,,,,,,
14,85,,,,,,
14,83,,,,,,
16,82,,,,,,
16,87,,,,,,
18,86,,,,,,
18,85,,,,,,
20,83,,,,,,
20,81,,,,,,
10,69,Vicio,,,,,
10,69,,,,,,
10,69,,,,,,
14,71,,,,,,
14,71,,,,,,
18,72,,,,,,
18,72,,,,,,
20,74,,,,,,
20,74,,,,,,
20,74,,,,,,
